Booking_ID,Consumer_ID,Consumer_Name,Phone,Aadhaar_Last4,Oil_Company,Distributor_Name,State,Region,City,Consumer_Category,Connection_Type,Cylinder_Type,Cylinders_Booked,Booking_Date,Delivery_Date,Booking_Channel,Payment_Mode,Delivery_Status,Scheme_Type,Unit_Price_INR,Total_Amount_INR,Subsidy_INR,Net_Payable_INR,Delivery_TAT_Days
BK931131,CON50319,Rahul Singh,9981994345,1659,Bharat Gas,Tiwari LPG Store,Madhya Pradesh,Central,Indore,Industriel,Surrender,14.2KG,1,07/12/2023,16 Jul 2023,,Cash,Delievered,N/A,857.55,857.55,0.0,857.55,4
BK557058,CON93202,Suresh Gupta,9806157458,8569,IndanGas,Mishra Gas Service,Odisha,East,Rourkela,Commercial,surrendered,19 KG,1,08/03/2022,04/08/2022,Distributor Visit,UPI,PENDING,ujjwala yojana,1158.73,1158.73,231.75,926.98,1
BK237377,CON47752,Sunita Joshi,9607042130,3369,IndanGas,Joshi Gas Agency,Karnataka,South,Mangaluru,Industriel,Surrender,19 KG,1,29/09/2023,03/10/2023,online,Cheque,Cancelled,Ujjwala Yojana,1101.6,1101.6,220.32,881.28,4
BK925981,CON76550,Savita Verma,9971243675,3492,Bharat Gas,Joshi Gas Agency,Haryana,North,Gurugram,Domestic,Suspended,14.2KG,1,03-07-2024,07/07/2024,ivr,upi,Cancelled,Ujjwala,836.49,836.49,167.3,669.19,4
BK579123,CON12011,Priya Pandey,9344261532,8110,Bharat Gas,Tiwari LPG Store,Odisha,East,Rourkela,comercial,Transfer,19 KG,1,25-03-2024,30 Mar 2024,Distributor Visit,Cash,PENDING,Regular,1085.71,1085.71,54.29,1031.42,5
BK158845,CON48452,Ravi Patel,9686905284,8237,Bharat Gas,Mishra Gas Service,Himachal Pradesh,North,Dharamshala,Commerical,ACTIVE,14.2 kg,1,04/01/2023,2023-01-05,IVR,CASH,Delievered,BPL Subsidy,891.9,891.9,133.78,758.12,1
BK503380,CON73335,Shanta Nair,9304152670,3240,Bharat Gas,Ali Gas Supply,Madhya Pradesh,Central,Gwalior,domestic,ACTIVE,5 KG,1,14-02-2022,2022-02-19,Mobile App,Cash,delivered,ujjwala yojana,241.62,241.62,48.32,193.3,5
BK409445,CON52823,Anita Yadav,9877621770,7511,HP Gas,Gupta Fuel Agency,Telangana,South,Hyderabad,Industrial,Active,5kg,3,23/12/2024,2024-12-27,ivr,CASH,PENDING,BPL Subsidy,406.09,1218.27,60.91,1157.36,4
BK805511,CON98125,Geeta Kumar,9204359116,9807,IndanGas,Kumar Gas Point,Delhi,North,Lajpat Nagar,comercial,new connection,14.2KG,2,21 Feb 2022,2022-02-25,online,Cheque,Cancled,,882.28,1764.56,44.11,1720.45,4
BK786735,CON22978,Naveen Yadav,9789024924,,HP Gas,Yadav Gas Centre,Chhattisgarh,Central,Bilaspur,comercial,Suspended,19 KG,3,2024-06-27,06/30/2024,online,UPI,Failed,Ujjwala Yojana,1191.09,3573.27,238.22,3335.05,3
BK326441,CON40539,Mukesh Chauhan,9488736388,2786,IndanGas,Tiwari LPG Store,Haryana,North,Faridabad,Industrial,New Connection,14.2 kg,1,05/29/2023,30/05/2023,,NEFT,Cancelled,Ujjwala,943.29,943.29,188.66,754.63,1
BK602248,CON62640,Sanjay Sharma,9691991695,4522,HP Gas,Kumar Gas Point,Uttar Pradesh,North,Bareilly,Commercial,surrendered,5kg,1,10/31/2022,31 Oct 2022,Online,UPI,PENDING,N/A,364.86,364.86,0.0,364.86,0
BK427704,CON97177,Anita Kumar,9408839723,6761,IndanGas,Yadav Gas Centre,Tamil Nadu,South,Salem,Commerical,Transfer,14.2KG,1,10/07/2022,07/13/2022,Online,UPI,Pending,N/A,917.76,917.76,0.0,917.76,3
BK485415,CON25058,Priya Tiwari,9466034277,6105,HP Gas,Tiwari LPG Store,Haryana,North,,domestic,ACTIVE,14.2KG,2,05/01/2023,07/01/2023,Mobile App,Cash,,Ujjwala Yojana,831.8,1663.6,166.36,1497.24,2
BK185544,CON45665,Mukesh Shah,9410791488,1126,HP Gas,Verma Distributors,Delhi,North,New Delhi,comercial,surrendered,19 KG,1,15 Nov 2024,11/15/2024,Distributor Visit,Cash,Failed,N/A,1042.18,1042.18,0.0,1042.18,0
BK800499,CON56421,Kavita Srivastava,9567804106,,HP Gas,Das Gas Depot,Haryana,North,Ambala,comercial,New Connection,5 KG,1,2023-10-04,2023-10-08,Online,upi,Pending,regular,320.88,320.88,16.04,304.84,4
BK303322,CON55793,Amit Kumar,9773469560,,HP Gas,Patel Gas Service,Gujarat,West,Vadodara,Industrial,Active,14.2 kg,1,22 Dec 2022,2022-12-26,IVR,Cash,Failed,Regular,921.83,921.83,46.09,875.74,4
BK139434,CON17456,Anil Nair,9866990485,,Bharat Gas,Mehta LPG Hub,Rajasthan,West,Jaipur,DOMESTIC,Surrender,14.2 kg,1,05 Aug 2024,09 Aug 2024,Mobile App,CASH,Delievered,Regular,928.36,928.36,46.42,881.94,4
BK506235,CON63578,Deepa Tiwari,9432411019,6381,HP Gas,Verma Distributors,Odisha,East,Rourkela,Domestic,new connection,14.2 kg,2,05/08/2023,07-08-2023,SMS,UPI,Delievered,Regular,901.31,1802.62,45.07,1757.55,2
BK324597,CON54791,Ravi Tiwari,0000000000,4891,HP Gas,Gupta Fuel Agency,Madhya Pradesh,Central,Gwalior,domestic,Active,19 KG,2,27/07/2022,2022-07-31,IVR,UPI,,BPL Subsidy,1187.02,2374.04,178.05,2195.99,4
BK303440,CON58213,Nisha Dubey,9258214411,2502,HP Gas,Singh LPG,Telangana,South,Hyderabad,Industriel,Suspended,19 KG,2,11/28/2022,29 Nov 2022,Mobile App,CASH,Delievered,regular,1047.68,2095.36,52.38,2042.98,1
BK504924,CON20696,Ajay Srivastava,9219385981,4893,IndanGas,Sharma Gas Agency,Karnataka,South,Bengaluru,domestic,New Connection,14.2 kg,1,09-10-2022,10/09/2022,,UPI,Cancelled,ujjwala yojana,935.95,935.95,187.19,748.76,0
BK624108,CON88215,Anil Kumar,9372354893,6850,HP Gas,Ali Gas Supply,Andhra Pradesh,South,Guntur,domestic,Transfer,14.2 KG,1,2023-05-08,05/12/2023,Distributor Visit,Cash,PENDING,,902.87,902.87,180.57,722.3,4
BK469412,CON81567,Naveen Das,9483298103,1783,IndanGas,Joshi Gas Agency,Chhattisgarh,Central,Bilaspur,Industrial,surrendered,14.2 kg,2,2022-05-10,2022-05-15,online,,,N/A,861.54,1723.08,0.0,1723.08,5
BK505426,CON54438,Ajay Pandey,9880411013,6776,IndanGas,Mishra Gas Service,Punjab,North,Jalandhar,Industriel,surrendered,19 KG,1,19 Jun 2022,2022-06-24,ivr,CASH,delivered,ujjwala yojana,1106.12,1106.12,221.22,884.9,5
BK940010,CON99051,Dinesh Mishra,N/A,9176,IndanGas,Nair Fuel Point,Madhya Pradesh,Central,Bhopal,Domestic,Transfer,19 KG,1,29/04/2023,04-05-2023,Online,NEFT,Pending,N/A,1096.57,1096.57,0.0,1096.57,5
BK615060,CON36237,Usha Nair,9948656610,6912,IndanGas,Singh LPG,Rajasthan,West,Udaipur,Industrial,Surrender,5 KG,1,2023-10-17,22 Oct 2023,IVR,upi,Pending,N/A,252.99,252.99,0.0,252.99,5
BK851759,CON72739,Anil Singh,9861639583,9501,HP Gas,Mishra Gas Service,Bihar,East,Patna,comercial,Surrender,5kg,1,12-08-2024,2024-08-17,SMS,UPI,Cancled,BPL Subsidy,265.67,265.67,39.85,225.82,5
BK197966,CON75873,Dinesh Nair,9536038528,2195,Bharat Gas,Verma Distributors,Maharashtra,West,Aurangabad,Industrial,Transfer,19 KG,3,06/16/2022,16 Jun 2022,,Cash,Delivered,ujjwala yojana,1174.2,3522.6,234.84,3287.76,0
BK853258,CON51853,Manoj Shah,9919395339,9433,IndanGas,Singh LPG,Andhra Pradesh,South,Vijayawada,comercial,Transfer,14.2 kg,1,2023-10-16,17 Oct 2023,Mobile App,CASH,Pending,ujjwala yojana,823.49,823.49,164.7,658.79,1
BK470037,CON16377,Sanjay Mehta,9769200551,2946,IndanGas,Mehta LPG Hub,Uttarakhand,North,Haldwani,DOMESTIC,surrendered,14.2 KG,1,09-08-2022,12 Aug 2022,SMS,CASH,Delivered,,822.89,822.89,0.0,822.89,3
BK633853,CON62610,Mukesh Yadav,9609912042,7035,HP Gas,Gupta Fuel Agency,Karnataka,South,Hubli,Domestic,New Connection,14.2 KG,1,29-11-2024,02 Dec 2024,online,UPI,Cancled,BPL Subsidy,948.63,948.63,142.29,806.34,3
BK920934,CON85821,Pooja Reddy,9656931857,6325,IndanGas,Reddy Gas Agency,Jharkhand,East,Jamshedpur,Domestic,surrendered,47.5 KG,1,12 May 2023,12/05/2023,Mobile App,cash,Cancelled,BPL Subsidy,380.1,380.1,57.02,323.08,0
BK471496,CON98587,Asha Chauhan,9470585534,3399,HP Gas,Ali Gas Supply,Kerala,South,Thiruvananthapuram,Industriel,Active,14.2KG,2,2023-04-06,08-04-2023,SMS,CASH,delivered,No Scheme,910.98,1821.96,0.0,1821.96,2
BK664739,CON45537,Pooja Joshi,9408427014,1969,Bharat Gas,Das Gas Depot,Karnataka,South,Mangaluru,Industrial,Surrender,14.2KG,1,22-04-2023,22/04/2023,IVR,Cash,Failed,No Scheme,836.06,836.06,0.0,836.06,0
BK138105,CON62034,Kishore Gupta,9949080318,4164,HP Gas,Yadav Gas Centre,Gujarat,West,Ahmedabad,Industrial,Suspended,19 KG,1,18 Nov 2023,16 Nov 2023,Online,Cash,Pending,Ujjwala Yojana,1148.26,1148.26,229.65,918.61,-2
BK247442,CON72580,,9226074193,5833,IndanGas,Yadav Gas Centre,Odisha,East,Cuttack,domestic,New Connection,14.2 kg,1,07/01/2023,07/03/2023,Distributor Visit,Cheque,Cancled,Ujjwala,914.58,914.58,182.92,731.66,2
BK836038,CON81989,Anita Shah,9159738492,9409,HP Gas,Ali Gas Supply,Haryana,North,Ambala,domestic,Active,19 KG,1,09/06/2022,13-06-2022,Mobile App,upi,PENDING,Regular,1185.75,1185.75,59.29,1126.46,4
BK103161,CON38560,Ravi Mishra,9810594320,3178,Bharat Gas,Das Gas Depot,Bihar,East,Gaya,Domestic,ACTIVE,5 KG,1,2022-05-22,25-05-2022,online,UPI,Delivered,ujjwala yojana,321.77,321.77,64.35,257.42,3
BK892911,CON12979,Rahul Mehta,9821579885,1797,IndanGas,Mehta LPG Hub,Himachal Pradesh,North,Dharamshala,Industriel,ACTIVE,14.2KG,1,01-08-2024,03 Aug 2024,ivr,Cheque,Failed,,807.7,807.7,40.39,767.31,2
BK403314,CON40692,Mukesh Patel,9538364955,7167,HP Gas,Singh LPG,Telangana,South,Hyderabad,Commerical,Active,14.2 kg,1,26/04/2024,28 Apr 2024,IVR,CASH,Failed,Ujjwala,881.34,881.34,,705.07,2
BK160423,CON83713,Ramesh Yadav,9333019716,6455,Bharat Gas,Tiwari LPG Store,Gujarat,West,Surat,comercial,Transfer,5kg,1,08-11-2023,11/13/2023,IVR,Cash,Failed,regular,329.96,329.96,16.5,313.46,5
BK515898,CON41369,Kavita Shah,9727099478,7841,IndanGas,Mishra Gas Service,Maharashtra,West,Mumbai,DOMESTIC,ACTIVE,14.2 kg,1,06/20/2023,2023-06-22,Mobile App,UPI,delivered,N/A,869.46,869.46,0.0,869.46,2
BK818113,CON54245,Kavita Dubey,9859317542,4583,HP Gas,Tiwari LPG Store,Gujarat,West,Rajkot,Industriel,surrendered,14.2KG,1,2022-10-14,19-10-2022,IVR,UPI,Cancelled,N/A,9999,806.81,0.0,806.81,5
BK633853,CON11553,Pooja Dubey,9186561759,1519,HP Gas,Mishra Gas Service,Assam,East,Silchar,DOMESTIC,Suspended,14.2 KG,1,08 Aug 2022,08 Aug 2022,Mobile App,cash,Cancelled,Ujjwala Yojana,818.19,818.19,163.64,654.55,0
BK986392,CON66873,Ravi Gupta,9705545509,7375,IndanGas,Nair Fuel Point,Bihar,East,Gaya,Commercial,New Connection,14.2 kg,1,06/04/2022,2022-04-06,,upi,delivered,No Scheme,826.07,826.07,0.0,826.07,0
BK462659,CON17038,Ramesh Singh,9265593497,3527,HP Gas,Joshi Gas Agency,Kerala,South,Kozhikode,comercial,Active,5 KG,1,2022-03-02,2022-03-07,SMS,cash,PENDING,Regular,438.52,438.52,21.93,416.59,5
BK207197,CON27367,Sanjay Tiwari,9835852444,3274,IndanGas,Kumar Gas Point,Punjab,North,Amritsar,Industrial,ACTIVE,5 KG,1,2022-07-31,31 Jul 2022,Mobile App,,Delievered,N/A,350.84,350.84,0.0,350.84,0
BK920685,CON20082,Suresh Verma,9315662642,3910,HP Gas,Yadav Gas Centre,Haryana,North,Gurugram,DOMESTIC,Active,14.2 kg,1,2022-08-08,2022-08-09,Mobile App,Cheque,Cancled,N/A,959.76,959.76,0.0,959.76,1
BK956156,CON61502,Kavita Das,9582181718,8851,HP Gas,Joshi Gas Agency,Madhya Pradesh,Central,Gwalior,Commercial,Active,14.2 kg,1,03/08/2024,08/08/2024,online,CASH,Delivered,BPL Subsidy,929.54,929.54,139.43,790.11,5
BK189110,CON24335,Deepa Chauhan,9212259020,2406,IndanGas,Joshi Gas Agency,Andhra Pradesh,South,Guntur,Commerical,Transfer,47.5 KG,1,05/31/2024,2024-05-31,Mobile App,cash,PENDING,Ujjwala Yojana,291.75,291.75,58.35,233.4,0
BK599292,CON22795,Vijay Srivastava,9564000836,4232,IndanGas,Joshi Gas Agency,Goa,West,Margao,Industriel,new connection,19 KG,1,16 Feb 2022,18 Feb 2022,SMS,Cash,Pending,Regular,1155.43,1155.43,57.77,1097.66,2
BK938338,CON80371,Suresh Singh,9436280635,6003,HP Gas,Singh LPG,Uttarakhand,North,Nainital,Commerical,new connection,19 KG,3,2024-09-29,10/03/2024,Distributor Visit,UPI,delivered,No Scheme,1082.68,3248.04,0.0,3248.04,4
BK294776,CON73788,,9133136428,4613,IndanGas,Reddy Gas Agency,Odisha,East,Cuttack,Industrial,surrendered,19 KG,1,2024-07-12,07/16/2024,IVR,NEFT,PENDING,Ujjwala,1091.81,1091.81,218.36,873.45,4
BK903124,CON74921,Sanjay Rawat,9731278472,8015,HP Gas,Joshi Gas Agency,Bihar,East,Gaya,Commercial,Suspended,5 KG,1,03/24/2023,03/27/2023,Mobile App,Cash,Cancled,ujjwala yojana,406.01,406.01,81.2,324.81,3
BK276556,CON52421,Geeta Reddy,9925583165,9447,HP Gas,Gupta Fuel Agency,Maharashtra,West,Mumbai,DOMESTIC,Suspended,14.2KG,1,2023-07-22,27 Jul 2023,IVR,cash,Delivered,Regular,943.22,943.22,47.16,896.06,5
BK580718,CON93209,Shanta Singh,9573827182,8009,HP Gas,Sharma Gas Agency,West Bengal,East,Durgapur,Commercial,ACTIVE,14.2 kg,2,07/04/2023,2023-07-06,Distributor Visit,Cheque,Cancled,No Scheme,837.55,1675.1,,1675.1,2
BK796787,CON95054,Deepa Reddy,9195918514,2678,IndanGas,Nair Fuel Point,Himachal Pradesh,North,Manali,Domestic,ACTIVE,19 KG,1,2022-07-06,2022-07-11,,Cheque,Delievered,Ujjwala,1062.68,1062.68,212.54,850.14,5
BK690653,CON11110,Lata Yadav,9936412291,1439,HP Gas,Nair Fuel Point,Haryana,North,Ambala,Industriel,new connection,19 KG,1,2024-06-25,06/26/2024,online,NEFT,Delievered,No Scheme,1040.09,1040.09,0.0,1040.09,1
BK157219,CON41370,Anita Mishra,9947493681,5693,HP Gas,Singh LPG,Odisha,East,Rourkela,comercial,Surrender,19 KG,1,10/01/2024,12 Jan 2024,Distributor Visit,UPI,Delivered,No Scheme,1192.16,,0.0,1192.16,2
BK260097,CON46368,Dinesh Chauhan,9896387342,3877,IndanGas,Patel Gas Service,Andhra Pradesh,South,Guntur,DOMESTIC,Surrender,5 KG,1,03/11/2024,15-03-2024,ivr,NEFT,PENDING,No Scheme,406.91,406.91,0.0,406.91,4
BK233096,CON45227,Amit Reddy,,,Bharat Gas,Mehta LPG Hub,Himachal Pradesh,North,Manali,Domestic,new connection,5 KG,3,2023-06-23,28 Jun 2023,SMS,CASH,Pending,,365.51,1096.53,18.28,1078.25,5
BK360322,CON64559,Savita Verma,9768637849,7033,IndanGas,Mehta LPG Hub,Haryana,North,,DOMESTIC,Surrender,14.2 kg,2,03 Jan 2023,01/04/2023,Online,CASH,Delivered,ujjwala yojana,966.28,1932.56,193.26,1739.3,1
BK920685,CON55406,Asha Verma,9723597716,3187,HP Gas,Sharma Gas Agency,Bihar,East,Patna,Commerical,New Connection,14.2 KG,3,25 Feb 2023,01-03-2023,ivr,Cash,Pending,regular,853.96,2561.88,42.7,2519.18,4
BK373668,CON51288,Lata Yadav,9836645781,1660,IndanGas,Yadav Gas Centre,Jharkhand,East,Dhanbad,Commerical,new connection,5kg,2,2023-02-20,02/21/2023,SMS,Cheque,Pending,N/A,356.94,713.88,0.0,713.88,1
BK372804,CON32789,Amit Patel,9793623149,3110,Bharat Gas,Yadav Gas Centre,Delhi,North,Dwarka,comercial,surrendered,14.2 KG,1,2022-10-14,14-10-2022,Online,upi,Pending,No Scheme,936.07,936.07,0.0,936.07,0
BK859620,CON61773,,9664588547,9907,IndanGas,Verma Distributors,Uttar Pradesh,North,Varanasi,Domestic,ACTIVE,19 KG,1,19 Jan 2023,2023-01-21,IVR,UPI,Failed,regular,1196.68,1196.68,59.83,1136.85,2
BK383572,CON33568,Naveen Srivastava,9517065508,3846,Bharat Gas,Mishra Gas Service,West Bengal,East,Asansol,Commerical,Active,14.2 KG,1,24/08/2024,2024-08-28,ivr,Cash,Delivered,Ujjwala Yojana,886.8,886.8,177.36,709.44,4
BK297377,CON74517,Naveen Yadav,9665104817,2188,Bharat Gas,Reddy Gas Agency,Karnataka,South,,Industrial,surrendered,14.2KG,1,25 Mar 2023,25/03/2023,Online,Cash,Failed,Ujjwala Yojana,770.14,770.14,154.03,616.11,0
BK558089,CON93789,Rahul Gupta,9707254955,9129,Bharat Gas,Gupta Fuel Agency,Punjab,North,Jalandhar,Commerical,Transfer,19 KG,1,21-09-2023,09/26/2023,IVR,NEFT,Delievered,ujjwala yojana,1045.47,1045.47,209.09,836.38,5
BK802571,CON93768,,9914157804,3664,HP Gas,Nair Fuel Point,Karnataka,South,Hubli,Industriel,New Connection,14.2 kg,2,19-12-2023,2023-12-21,IVR,Cheque,Pending,Ujjwala,914.08,1828.16,182.82,1645.34,2
BK493696,CON31090,Anil Das,9627151698,,Bharat Gas,Patel Gas Service,Uttarakhand,North,Haridwar,Commercial,new connection,5 KG,2,04-12-2022,2022-12-08,online,Cash,Delievered,N/A,271.42,542.84,0.0,542.84,4
BK931131,CON93648,Vijay Kumar,9203833652,6632,HP Gas,Ali Gas Supply,Chhattisgarh,Central,Bilaspur,Commercial,surrendered,14.2KG,1,28 Sep 2024,03/10/2024,SMS,cash,Cancled,Regular,898.37,898.37,44.92,853.45,5
BK820442,CON72236,Amit Verma,9966878665,7358,IndanGas,Tiwari LPG Store,Gujarat,West,Ahmedabad,Industriel,Suspended,47.5 KG,1,04/09/2022,2022-09-07,Distributor Visit,Cash,Cancelled,Regular,436.87,436.87,21.84,415.03,3
BK919656,CON64997,Ramesh Shah,9455939049,1807,IndanGas,Joshi Gas Agency,Rajasthan,West,Kota,comercial,Transfer,5 KG,2,2022-07-26,2022-07-28,Mobile App,UPI,Pending,BPL Subsidy,416.03,832.06,62.4,769.66,2
BK818119,CON22873,Suresh Dubey,9662948033,1474,Bharat Gas,Kumar Gas Point,Uttarakhand,North,Haridwar,Industrial,Suspended,47.5 KG,1,05/03/2024,07-05-2024,ivr,UPI,delivered,N/A,277.59,277.59,0.0,277.59,4
BK387286,CON58280,Asha Tiwari,9337673911,4387,IndanGas,Sharma Gas Agency,Gujarat,West,Ahmedabad,comercial,Surrender,19 KG,3,02 Jul 2024,03/07/2024,IVR,UPI,Cancled,Ujjwala Yojana,1114.92,,222.98,3121.78,1
BK730343,CON11109,Asha Yadav,9617262695,5529,IndanGas,Ali Gas Supply,Uttarakhand,North,Nainital,DOMESTIC,Suspended,47.5 KG,1,2024-07-29,2024-07-31,Distributor Visit,,PENDING,Ujjwala,300.43,300.43,60.09,240.34,2
BK944554,CON88647,Amit Mehta,9282521788,3967,HP Gas,Verma Distributors,Madhya Pradesh,Central,Jabalpur,Commerical,Transfer,5kg,1,16 Jun 2023,06/19/2023,online,upi,delivered,Ujjwala Yojana,387.35,387.35,77.47,309.88,3
BK880360,CON50250,Anil Mehta,9467938988,8496,Bharat Gas,Nair Fuel Point,Rajasthan,West,Jodhpur,Commerical,new connection,5kg,1,08/30/2022,02-09-2022,Mobile App,Cash,Cancled,Ujjwala,366.88,366.88,73.38,293.5,3
BK185544,CON37444,,9469742752,2682,HP Gas,Gupta Fuel Agency,West Bengal,East,Durgapur,Industrial,surrendered,19 KG,3,06/04/2024,2024-04-09,IVR,,Delievered,Regular,1096.66,3289.98,54.83,3235.15,3
BK725339,CON78697,Nisha Pandey,9737721108,2771,IndanGas,Kumar Gas Point,Himachal Pradesh,North,Shimla,comercial,Transfer,14.2 kg,1,04-12-2022,07-12-2022,Distributor Visit,UPI,Failed,,814.86,814.86,162.97,651.89,3
BK835962,CON30070,Priya Chauhan,9142311558,4402,IndanGas,Yadav Gas Centre,Punjab,North,Patiala,Domestic,Suspended,47.5 KG,2,08 Oct 2022,2022-10-11,online,UPI,delivered,regular,260.98,521.96,13.05,508.91,3
BK801520,CON74763,Anil Kumar,9283086166,8171,IndanGas,Nair Fuel Point,Gujarat,West,Ahmedabad,Commercial,Surrender,19 KG,1,2023-08-30,01-09-2023,SMS,Cheque,,Regular,1039.96,1039.96,52.0,987.96,2
BK385037,CON60556,Ajay Mishra,9541613113,2037,HP Gas,Patel Gas Service,Karnataka,South,Hubli,comercial,Transfer,19 KG,3,2022-08-01,04-08-2022,IVR,Cash,Cancelled,Regular,1116.53,3349.59,55.83,3293.76,3
